MT-GDJ;35.8514;14.5033
MT-PLA;35.8736;14.5061
MT-KKR;35.8911;14.5328
MT-RBT;35.8826;14.3978
MT-XWK;36.0333;14.2611
MT-ISL;35.8878;14.5169
MT-GZR;35.9056;14.4928
MT-VCT;36.0453;14.2417
MT-LQA;35.8597;14.4833
MT-PTA;35.8925;14.4939
MT-SLM;35.9125;14.5022
MT-MXK;35.8417;14.5514
MT-MRS;35.8764;14.4922
MT-ATD;35.8917;14.4319
MT-XRA;36.0542;14.2667
MT-GSM;36.0267;14.2861
MT-BKR;35.8972;14.4653
MT-IKL;35.9097;14.4556
MT-SPB;35.9375;14.3986
MT-MXR;36.0292;14.2256
MT-KKP;35.8442;14.4842
MT-BBG;35.8222;14.5228
MT-QRM;35.8792;14.4667
MT-NXR;35.9333;14.4375
MT-NDR;36.0486;14.2944
MT-QRD;35.8319;14.4514
MT-KMN;36.0267;14.2861
MT-DGL;35.8597;14.3833
MT-ZBB;36.0667;14.2444
MT-MST;35.9125;14.4208
MT-SFI;35.8347;14.4917
MT-GXQ;35.8458;14.5167
MT-GHR;35.9236;14.455
MT-SWQ;35.9217;14.4694
MT-SCM;35.8911;14.5328
MT-KCM;36.0439;14.2161
MT-BRG;35.8861;14.5242
MT-QLA;36.0375;14.3167
MT-ZBG;35.8736;14.4361
MT-MSD;35.8986;14.4839
MT-ZBR;35.875;14.5417
MT-BZN;35.8972;14.4528
MT-STJ;35.9172;14.4894
MT-XLN;36.0292;14.2256
MT-MSK;35.8606;14.5592
MT-MLH;35.9583;14.3514
MT-SGN;35.9089;14.475
MT-SNT;36.0231;14.2514
MT-TXN;35.8667;14.5131
MT-MGR;35.9194;14.3639
MT-GRB;36.0681;14.2014
MT-XBX;35.8994;14.4961
MT-HMR;35.8869;14.4883
MT-MTF;35.8906;14.3972
MT-MFN;36.0667;14.2444
MT-MTP;35.8764;14.4922
MT-BML;35.8806;14.5217
MT-FRN;35.8917;14.5042
MT-VLT;35.8983;14.5125
MT-MDN;35.8872;14.4053
MT-MQB;35.845;14.4675
MT-GSR;36.0653;14.2217
MT-SLC;35.8617;14.5064
MT-XJR;35.8847;14.5486
MT-FGR;35.8728;14.5203
MT-ZRQ;35.8222;14.4833
MT-LJA;35.9014;14.4422
MT-SGW;35.8486;14.4264
MT-ZTN;35.8578;14.5333
MT-FNT;36.0375;14.2361
MT-SLZ;36.0486;14.1978
MT-PBK;35.9306;14.4764
MT-SVR;35.8903;14.4778
